Model,Method,Baseline,Adaptive,Self-Correct
Llama-3.2-3B,SLT,0.360 (4.62s),"0.480 (+0.120, 97.33s)","0.440 (+0.080, 12.86s)"
Llama-3.2-3B,TBG,0.360 (4.73s),"0.360 (+0.000, 30.90s)","0.520 (+0.160, 8.39s)"
Qwen2.5-Coder-3B,SLT,0.760 (6.37s),"0.680 (-0.080, 137.36s)","0.920 (+0.160, 18.19s)"
Qwen2.5-Coder-3B,TBG,0.760 (6.35s),"0.680 (-0.080, 65.46s)","0.960 (+0.200, 13.06s)"
deepseek-coder-1.3b-instruct,SLT,0.000 (5.07s),"0.080 (+0.080, 17.27s)","0.120 (+0.120, 14.62s)"
deepseek-coder-1.3b-instruct,TBG,0.000 (4.96s),"0.000 (+0.000, 26.21s)","0.040 (+0.040, 16.39s)"
