feature_method,classifier,test_accuracy,test_auc,feature_dim,n_train,n_val,n_test,recommended_threshold,probe_path
SLT,random_forest,0.8461538461538461,0.8095238095238095,9216,58,13,13,0.5318869047619048,saved_probes/SLT_random_forest
TBG,random_forest,0.8461538461538461,0.8571428571428572,9216,58,13,13,0.5667698412698413,saved_probes/TBG_random_forest
LAST,mlp,0.8461538461538461,1.0,9216,58,13,13,0.9832344280860461,saved_probes/LAST_mlp
LAST,random_forest,0.8461538461538461,0.8571428571428572,9216,58,13,13,0.5184166666666667,saved_probes/LAST_random_forest
TBG,deep_nn,0.8461538461538461,0.8095238095238095,9216,58,13,13,0.7141031622886658,saved_probes/TBG_deep_nn
LAST,deep_nn,0.8461538461538461,1.0,9216,58,13,13,0.6476650536060333,saved_probes/LAST_deep_nn
SLT,mlp,0.7692307692307693,0.8571428571428572,9216,58,13,13,0.8805707236973968,saved_probes/SLT_mlp
TBG,mlp,0.7692307692307693,0.8571428571428572,9216,58,13,13,0.8248300768075791,saved_probes/TBG_mlp
SLT,deep_nn,0.6923076923076923,0.8095238095238095,9216,58,13,13,0.551962822675705,saved_probes/SLT_deep_nn
