model,feature_method,0.3,0.4,0.5,0.6,0.7
Qwen/Qwen2.5-Coder-3B-Instruct,SLT,0.8275862068965517,0.8571428571428571,0.923076923076923,0.923076923076923,0.9600000000000001
Qwen/Qwen2.5-Coder-3B-Instruct,TBG,0.8461538461538461,0.8,0.8,0.6956521739130435,0.6956521739130435
deepseek-ai/deepseek-coder-1.3b-instruct,SLT,0.8461538461538461,0.8799999999999999,0.9166666666666666,0.8571428571428571,0.7368421052631579
deepseek-ai/deepseek-coder-1.3b-instruct,TBG,0.7826086956521738,0.7826086956521738,0.7272727272727272,0.6666666666666666,0.6
meta-llama/Llama-3.2-3B-Instruct,SLT,0.6666666666666667,0.6666666666666667,0.6896551724137931,0.6896551724137931,0.6896551724137931
meta-llama/Llama-3.2-3B-Instruct,TBG,0.7096774193548387,0.7333333333333334,0.7333333333333334,0.7586206896551724,0.7857142857142857
